theme_name,movie_title,release_date,genre,MPAA_rating,total_gross,inflation_adjusted_gross
Disney™,Pinocchio,"Feb 9, 1940",Adventure,G,84300000,2188229052
Disney™,Song of the South,"Nov 12, 1946",Adventure,G,65000000,1078510579
Star Wars™,Star Wars Ep. VII: The Force Awakens,"Dec 18, 2015",Adventure,PG-13,936662225,936662225
Disney™,The Lion King,"Jun 15, 1994",Adventure,G,422780140,761640898
Disney™,Pirates of the Caribbean: Dead Man’…,"Jul 7, 2006",Adventure,PG-13,423315812,544817142
Star Wars™,Rogue One: A Star Wars Story,"Dec 16, 2016",Adventure,PG-13,529483936,529483936
Disney™,Finding Nemo,"May 30, 2003",Adventure,G,380529370,518148559
Disney™,Finding Dory,"Jun 17, 2016",Adventure,PG,486295561,486295561
Disney™,Toy Story 3,"Jun 18, 2010",Adventure,G,415004880,443408255
Disney™,Pirates of the Caribbean: The Curse o…,"Jul 9, 2003",Adventure,PG-13,305411224,426967926
Disney™,"Monsters, Inc.","Nov 2, 2001",Adventure,G,289423425,416073179
Disney™,Frozen,"Nov 22, 2013",Adventure,PG,400738009,414997174
Disney™,Toy Story 2,"Nov 19, 1999",Adventure,G,245852179,404450426
Disney™,"The Chronicles of Narnia: The Lion, t…","Dec 9, 2005",Adventure,PG,291710957,381557539
Disney™,Pirates of the Caribbean: At World’…,"May 24, 2007",Adventure,PG-13,309420425,379129960
Disney™,Toy Story,"Nov 22, 1995",Adventure,G,191796233,370409631
Disney™,The Jungle Book,"Apr 15, 2016",Adventure,PG,364001123,364001123
Disney™,Armageddon,"Jul 1, 1998",Adventure,PG-13,201578182,362324957
Disney™,Alice in Wonderland,"Mar 5, 2010",Adventure,PG,334191110,357063499
Disney™,Inside Out,"Jun 19, 2015",Adventure,PG,356461711,356461711
Disney™,The Incredibles,"Nov 5, 2004",Adventure,PG,261441092,354488708
Marvel Super Heroes,Guardians of the Galaxy,"Aug 1, 2014",Adventure,PG-13,333172112,343771168
Disney™,Zootopia,"Mar 4, 2016",Adventure,PG,341268248,341268248
Disney™,Up,"May 29, 2009",Adventure,PG,293004164,329336681
Disney™,A Bug's Life,"Nov 20, 1998",Adventure,G,162798565,288981698
Disney™,Tarzan,"Jun 16, 1999",Adventure,G,171091819,283900254
Disney™,Monsters University,"Jun 21, 2013",Adventure,G,268488329,278395641
Disney™,"Honey, I Shrunk the Kids","Jun 23, 1989",Adventure,PG,130724172,276191669
